,ConfirmedCases,Fatalities,R,HospitalizedCases,CriticalCases,Date,CountryName,ExposedCases,RecoveredCases,InfectiousCases,t_hosp,t_crit,m,c,f
2020-03-26,147.754486722417,0.24346475437953372,2.4554866283799304,33.455306718976104,17.045615695988783,2020-03-26,Kuwait,115.60733293940001,50.74438716934442,46.265712383728136,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-27,171.21015840107302,0.2854471434544494,2.4182292602060227,38.36467609136543,19.87862176687068,2020-03-27,Kuwait,130.16443203115284,58.52874500169056,54.1526683976919,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-28,195.8272196914351,0.33508618622632624,2.3773553046826468,45.41960434191662,22.90600229032114,2020-03-28,Kuwait,153.95639856178778,68.66069281846409,58.505834054506934,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-29,224.51359649041933,0.392407929063051,2.3328441741048085,52.95414852317507,26.475827870211038,2020-03-29,Kuwait,177.72437786969903,79.82238432244917,64.868827845521,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-30,258.3221164226769,0.45829206428956226,2.284727560500332,60.54163036575804,30.73791064050663,2020-03-30,Kuwait,199.05297354607112,91.73783307055423,74.84645028156847,10.0,20.0,0.5,1.0,0.04619846347007992
2020-03-31,297.031842068066,0.5343235473209493,2.233092703466421,68.67732236444367,35.692399759529984,2020-03-31,Kuwait,220.00007523253453,104.9040456712946,87.22375072547675,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-01,339.22742096206196,0.622761748403779,2.1780839368777563,78.72460094843785,41.19864636207878,2020-04-01,Kuwait,246.80255909049654,120.54600905892042,98.1354028442211,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-02,385.331157347152,0.7252737231159894,2.119902286418519,90.75044826100817,47.338131175401045,2020-04-02,Kuwait,278.9168237842312,138.81385315952522,107.70345102810164,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-03,437.2106860477854,0.8429913133776554,2.058802998474673,103.63894950839261,54.40106630543613,2020-04-03,Kuwait,310.7620366672116,158.8830071272064,119.4446717933726,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-04,495.57373545604935,0.9777531973329713,1.9950910099312922,117.09166092215364,62.537592882091076,2020-04-04,Kuwait,340.6090063041282,180.60700700157767,134.35972145289404,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-05,560.1648044030683,1.13206372217223,1.9291145059340722,131.53298227070053,71.77051449868796,2020-04-05,Kuwait,369.73345357544287,204.43556049156075,151.29368341994666,10.0,20.0,0.5,1.0,0.04619846347007992
