,CountryName,SEIR,DN-SEIR,DN-SEIR min,DN-SEIR max
69,South Africa,4102.808696159555,1332.3129190568236,1336.1356325506138,1218.3637153400223
70,Spain,14626.155065421834,1241.3848257950817,1201.2220563124158,6192.220107291315
71,Sweden,6602.6290148699645,2723.85863383966,2727.1945815644117,2222.5417881335775
72,Switzerland,969.8469061369484,661.1279322923384,665.5804126582195,397.45296217647837
73,Tanzania,73.13989270031307,108.04430308244591,122.1720098876989,93.53150729643384
74,Thailand,102.91028602402554,105.47917871721008,130.85706487832985,87.59729284792833
75,Turkey,5845.296361889234,17959.59745412702,18700.208291429728,14063.104468278485
76,Uganda,12.083268648951815,12.047524938461724,12.047524938461724,11.332633031584999
77,United Arab Emirates,5831.654679578981,3140.9139479730147,3152.127172923979,2729.6845186630217
78,United Kingdom,58882.98131735205,19361.20487322153,19361.91259369059,14091.357001469274
79,Uruguay,85.78517051571436,71.6120500634196,71.6120500634196,67.09694478886502
80,Zambia,27.356062254861566,21.334077367977674,22.944031281110377,19.17215242406101
81,Zimbabwe,3.297429621943029,5.154748157905347,6.380774695464941,3.854496446637726
