,ALL,N,T,U,K,L,M,O,A,R,S,G,F,P,I,C,B,J,E,D,Q,H
2020-04-29,0.7187868969022944,0.48323242742361444,0.3593934484511472,0.3593934484511472,0.6046413073618693,0.3593934484511472,0.5945032176805924,0.3593934484511472,0.3593934484511472,0.3593934484511472,0.3593934484511472,1.1603759690794253,0.3593934484511472,0.3593934484511472,0.3593934484511472,0.3593934484511472,0.3593934484511472,0.3593934484511472,0.3593934484511472,0.3593934484511472,0.3888603657739381,0.3593934484511472
2020-04-30,0.7227330692170665,0.45857090445650817,0.36136653460853324,0.36136653460853324,0.7991785610822857,0.36136653460853324,0.5597925945813881,0.36136653460853324,0.36136653460853324,0.36136653460853324,0.36136653460853324,1.3662910297874105,0.36136653460853324,0.36136653460853324,0.36136653460853324,0.36136653460853324,0.36136653460853324,0.36136653460853324,0.36136653460853324,0.36136653460853324,0.40735646842650525,0.36136653460853324
2020-05-01,0.718742566420542,0.4757518975700673,0.359371283210271,0.359371283210271,1.0373813135238674,0.359371283210271,0.54519475061894,0.359371283210271,0.359371283210271,0.359371283210271,0.359371283210271,1.431165559928259,0.359371283210271,0.359371283210271,0.359371283210271,0.359371283210271,0.359371283210271,0.359371283210271,0.359371283210271,0.359371283210271,0.5108959028364524,0.359371283210271
2020-05-02,0.71,0.5420058047709007,0.355,0.355,1.2546710710783997,0.355,0.551600515523863,0.355,0.355,0.355,0.355,1.3614153019698207,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.6765164502232377,0.355
2020-05-03,0.7012131030977057,0.6185504944104154,0.35060655154885284,0.35060655154885284,1.3664716799948826,0.35060655154885284,0.5680864291937091,0.35060655154885284,0.35060655154885284,0.35060655154885284,0.35060655154885284,1.164362600797627,0.35060655154885284,0.35060655154885284,0.35060655154885284,0.35060655154885284,0.35060655154885284,0.35060655154885284,0.35060655154885284,0.35060655154885284,0.877562752834985,0.35060655154885284
2020-05-04,0.6965938835114521,0.6694874935507905,0.34829694175572606,0.34829694175572606,1.3420578011728752,0.34829694175572606,0.5808970847855077,0.34829694175572606,0.34829694175572606,0.34829694175572606,0.34829694175572606,0.9388918593151894,0.34829694175572606,0.34829694175572606,0.34829694175572606,0.34829694175572606,0.34829694175572606,0.34829694175572606,0.34829694175572606,0.34829694175572606,1.0585645618959723,0.34829694175572606
2020-05-05,0.6970839123617673,0.6663460018945109,0.3485419561808836,0.3485419561808836,1.2130351967194852,0.3485419561808836,0.5748843441236775,0.3485419561808836,0.3485419561808836,0.3485419561808836,0.3485419561808836,0.7969950288986989,0.3485419561808836,0.3485419561808836,0.3485419561808836,0.3485419561808836,0.3485419561808836,0.3485419561808836,0.3485419561808836,0.3485419561808836,1.142113256998169,0.3485419561808836
2020-05-06,0.6969952513982623,0.612794661214957,0.3484976256991312,0.3484976256991312,1.0306639869173795,0.3484976256991312,0.5592851484134451,0.3484976256991312,0.3484976256991312,0.3484976256991312,0.3484976256991312,0.7667178393205216,0.3484976256991312,0.3484976256991312,0.3484976256991312,0.3484976256991312,0.3484976256991312,0.3484976256991312,0.3484976256991312,0.3484976256991312,1.0963435921734968,0.3484976256991312
2020-05-07,0.6953807804137465,0.5269699412854432,0.34769039020687326,0.34769039020687326,0.9218202030022953,0.34769039020687326,0.5416609283872764,0.34769039020687326,0.34769039020687326,0.34769039020687326,0.34769039020687326,0.8582013460749578,0.34769039020687326,0.34769039020687326,0.34769039020687326,0.34769039020687326,0.34769039020687326,0.34769039020687326,0.34769039020687326,0.34769039020687326,0.9400634872101106,0.34769039020687326
2020-05-08,0.6945748891045012,0.44396215464574906,0.3472874445522506,0.3472874445522506,0.9162291958532981,0.3472874445522506,0.5367023515020186,0.3472874445522506,0.3472874445522506,0.3472874445522506,0.3472874445522506,1.0272735975855891,0.3472874445522506,0.3472874445522506,0.3472874445522506,0.3472874445522506,0.3472874445522506,0.3472874445522506,0.3472874445522506,0.3472874445522506,0.729123960235861,0.3472874445522506
